meterName,armSkuName,tier,size,family,MemoryPreservingMaintenanceSupported,HyperVGenerations,CpuArchitectureType,LowPriorityCapable,PremiumIO,ACUs,EphemeralOSDiskSupported,EncryptionAtHostSupported,CapacityReservationSupported,AcceleratedNetworkingEnabled,RdmaEnabled,MaxNetworkInterfaces,UltraSSDAvailable,unit,os,unitPricePerUnit,armSkuName,numberOfCores,osDiskSizeInMB,memoryInMB,maxDataDiskCount
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
B16ms,Standard_B16ms,Standard,B16ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,TRUE,FALSE,8,TRUE,10,Linux,"0,5486",Standard_B16ms,16,1047552,65536,32
B16ms,Standard_B16ms,Standard,B16ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,TRUE,FALSE,8,TRUE,10,Linux,"0,5486",Standard_B16ms,16,1047552,65536,32
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
M32ts Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_M32ts,32,1047552,196608,32
M32ts Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_M32ts,32,1047552,196608,32
M32ts Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_M32ts,32,1047552,196608,32
M32ts Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_M32ts,32,1047552,196608,32
M32ts Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_M32ts,32,1047552,196608,32
M32ts Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_M32ts,32,1047552,196608,32
E4 v3/E4s v3 Low Priority,Standard_E4_v3,Standard,E4_v3,standardEv3Family,TRUE,V1,x64,TRUE,FALSE,160,FALSE,FALSE,TRUE,TRUE,FALSE,2,null,10,Windows,"0,0416",Standard_E4_v3,4,1047552,32768,8
E4s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E4s_v3,4,1047552,32768,8
E4ds v4 Low Priority,Standard_E4ds_v4,Standard,E4ds_v4,standardEDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,1000,Linux,"0,044746",Standard_E4ds_v4,4,1047552,32768,8
E4ds v4 Low Priority,Standard_E4ds_v4,Standard,E4ds_v4,standardEDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,1000,Linux,"0,044746",Standard_E4ds_v4,4,1047552,32768,8
E4ds v4 Low Priority,Standard_E4ds_v4,Standard,E4ds_v4,standardEDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,1000,Linux,"0,044746",Standard_E4ds_v4,4,1047552,32768,8
E4ds v4 Low Priority,Standard_E4ds_v4,Standard,E4ds_v4,standardEDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,1000,Linux,"0,044746",Standard_E4ds_v4,4,1047552,32768,8
B4ms,Standard_B4ms,Standard,B4ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Linux,"0,1365",Standard_B4ms,4,1047552,16384,8
B4ms,Standard_B4ms,Standard,B4ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Linux,"0,1365",Standard_B4ms,4,1047552,16384,8
E2s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E2s_v3,2,1047552,16384,4
E2s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E2s_v3,2,1047552,16384,4
B4ms,Standard_B4ms,Standard,B4ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Linux,"0,1365",Standard_B4ms,4,1047552,16384,8
D14 v2/DS14 v2,Standard_D14_v2,Standard,D14_v2,standardDv2Family,TRUE,V1,x64,TRUE,FALSE,210,FALSE,FALSE,TRUE,TRUE,FALSE,8,null,10,Linux,"10,244",Standard_D14_v2,16,1047552,114688,64
D14 v2/DS14 v2,Standard_D14_v2,Standard,D14_v2,standardDv2Family,TRUE,V1,x64,TRUE,FALSE,210,FALSE,FALSE,TRUE,TRUE,FALSE,8,null,10,Linux,"10,244",Standard_D14_v2,16,1047552,114688,64
D14 v2/DS14 v2,Standard_D14_v2,Standard,D14_v2,standardDv2Family,TRUE,V1,x64,TRUE,FALSE,210,FALSE,FALSE,TRUE,TRUE,FALSE,8,null,10,Linux,"10,244",Standard_D14_v2,16,1047552,114688,64
B4ms,Standard_B4ms,Standard,B4ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Linux,"0,1365",Standard_B4ms,4,1047552,16384,8
D4ds v4,Standard_D4ds_v4,Standard,D4ds_v4,standardDDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,100,Windows,"0,31083",Standard_D4ds_v4,4,1047552,16384,8
D4ds v4,Standard_D4ds_v4,Standard,D4ds_v4,standardDDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,100,Windows,"0,31083",Standard_D4ds_v4,4,1047552,16384,8
D4ds v4,Standard_D4ds_v4,Standard,D4ds_v4,standardDDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,100,Windows,"0,31083",Standard_D4ds_v4,4,1047552,16384,8
D4ds v4,Standard_D4ds_v4,Standard,D4ds_v4,standardDDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,100,Windows,"0,31083",Standard_D4ds_v4,4,1047552,16384,8
D2s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D2s_v3,2,1047552,8192,4
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
B4ms,Standard_B4ms,Standard,B4ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Linux,"0,1365",Standard_B4ms,4,1047552,16384,8
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D4ds v5,Standard_D4ds_v5,Standard,D4ds_v5,standardDDSv5Family,TRUE,"V1,V2",x64,TRUE,TRUE,null,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,100,Linux,"0,18369",Standard_D4ds_v5,4,1047552,16384,8
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
B8ms,Standard_B8ms,Standard,B8ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Windows,"0,2964",Standard_B8ms,8,1047552,32768,16
B8ms,Standard_B8ms,Standard,B8ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Windows,"0,2964",Standard_B8ms,8,1047552,32768,16
F4s v2 Low Priority,Standard_F4s_v2,Standard,F4s_v2,standardFSv2Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,100,Linux,"0,02353",Standard_F4s_v2,4,1047552,8192,8
F4s v2 Low Priority,Standard_F4s_v2,Standard,F4s_v2,standardFSv2Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,100,Linux,"0,02353",Standard_F4s_v2,4,1047552,8192,8
B4ms,Standard_B4ms,Standard,B4ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Linux,"0,1365",Standard_B4ms,4,1047552,16384,8
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
F8s v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_F8s_v2,8,1047552,16384,16
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
DS4 v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_DS4_v2,8,1047552,28672,32
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
E8s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E8s_v3,8,1047552,65536,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
F4s v2 Low Priority,Standard_F4s_v2,Standard,F4s_v2,standardFSv2Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,100,Linux,"0,02353",Standard_F4s_v2,4,1047552,8192,8
E4ds v4 Low Priority,Standard_E4ds_v4,Standard,E4ds_v4,standardEDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,1000,Linux,"0,044746",Standard_E4ds_v4,4,1047552,32768,8
E4ds v4 Low Priority,Standard_E4ds_v4,Standard,E4ds_v4,standardEDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,1000,Linux,"0,044746",Standard_E4ds_v4,4,1047552,32768,8
E4ds v4 Low Priority,Standard_E4ds_v4,Standard,E4ds_v4,standardEDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,1000,Linux,"0,044746",Standard_E4ds_v4,4,1047552,32768,8
E4ds v4 Low Priority,Standard_E4ds_v4,Standard,E4ds_v4,standardEDSv4Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,2,TRUE,1000,Linux,"0,044746",Standard_E4ds_v4,4,1047552,32768,8
E4s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E4s_v3,4,1047552,32768,8
E4s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E4s_v3,4,1047552,32768,8
E20s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E20s_v3,20,1047552,163840,32
E20s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E20s_v3,20,1047552,163840,32
E20s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E20s_v3,20,1047552,163840,32
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
F8s v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_F8s_v2,8,1047552,16384,16
F16s v2 Low Priority,Standard_F16s_v2,Standard,F16s_v2,standardFSv2Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,4,TRUE,10,Linux,"0,0936",Standard_F16s_v2,16,1047552,32768,32
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
D4s v3 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D4s_v3,4,1047552,16384,8
F8s v2 Spot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_F8s_v2,8,1047552,16384,16
D8s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_D8s_v3,8,1047552,32768,16
F32s v2 Low Priority,Standard_F32s_v2,Standard,F32s_v2,standardFSv2Family,TRUE,"V1,V2",x64,TRUE,TRUE,195,TRUE,TRUE,TRUE,TRUE,FALSE,8,TRUE,100,Linux,"0,18785",Standard_F32s_v2,32,1047552,65536,32
B8ms,Standard_B8ms,Standard,B8ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Windows,"0,2964",Standard_B8ms,8,1047552,32768,16
B2ms,Standard_B2ms,Standard,B2ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,100,Windows,"0,07397",Standard_B2ms,2,1047552,8192,4
B2ms,Standard_B2ms,Standard,B2ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,100,Windows,"0,07397",Standard_B2ms,2,1047552,8192,4
B2ms,Standard_B2ms,Standard,B2ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,100,Windows,"0,07397",Standard_B2ms,2,1047552,8192,4
B2ms,Standard_B2ms,Standard,B2ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,3,TRUE,100,Windows,"0,07397",Standard_B2ms,2,1047552,8192,4
E2s v3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E2s_v3,2,1047552,16384,4
B4ms,Standard_B4ms,Standard,B4ms,standardBSFamily,TRUE,"V1,V2",x64,FALSE,TRUE,null,TRUE,TRUE,TRUE,FALSE,FALSE,4,TRUE,10,Linux,"0,1365",Standard_B4ms,4,1047552,16384,8
E4s v3 Low Priority,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Standard_E4s_v3,4,1047552,32768,8
